iter	Passed	Remaining
812	1707	392
813	1710	390
814	1712	388
815	1714	386
816	1716	384
817	1718	382
818	1719	380
819	1721	377
820	1723	375
821	1725	373
822	1727	371
823	1730	369
824	1732	367
825	1734	365
826	1736	363
827	1737	361
828	1740	358
829	1742	356
830	1744	354
831	1746	352
832	1748	350
833	1750	348
834	1752	346
835	1754	344
836	1756	342
837	1758	339
838	1760	337
839	1762	335
840	1765	333
841	1767	331
842	1769	329
843	1771	327
844	1773	325
845	1776	323
846	1778	321
847	1780	319
848	1782	317
849	1784	314
850	1786	312
851	1788	310
852	1792	308
853	1794	306
854	1796	304
855	1798	302
856	1800	300
857	1802	298
858	1804	296
859	1806	294
860	1808	292
861	1810	289
862	1813	287
863	1815	285
864	1816	283
865	1818	281
866	1820	279
867	1823	277
868	1825	275
869	1827	273
870	1829	271
871	1832	268
872	1834	266
873	1836	264
874	1838	262
875	1840	260
876	1842	258
877	1844	256
878	1846	254
879	1848	252
880	1850	249
881	1852	247
882	1854	245
883	1856	243
884	1858	241
885	1860	239
886	1862	237
887	1864	235
888	1866	233
889	1868	230
890	1870	228
891	1872	226
892	1874	224
893	1876	222
894	1879	220
895	1881	218
896	1883	216
897	1885	214
898	1887	212
899	1889	209
900	1891	207
901	1893	205
902	1895	203
903	1898	201
904	1899	199
905	1901	197
906	1903	195
907	1905	193
908	1908	191
909	1910	188
910	1911	186
911	1913	184
912	1915	182
913	1917	180
914	1919	178
915	1921	176
916	1924	174
917	1926	172
918	1928	169
919	1929	167
920	1931	165
921	1933	163
922	1935	161
923	1938	159
924	1940	157
925	1942	155
926	1944	153
927	1946	151
928	1948	148
929	1950	146
930	1951	144
931	1954	142
932	1956	140
933	1958	138
934	1960	136
935	1962	134
936	1964	132
937	1966	129
938	1967	127
939	1969	125
940	1972	123
941	1974	121
942	1976	119
943	1978	117
944	1980	115
945	1982	113
946	1984	111
947	1986	108
948	1988	106
949	1990	104
950	1992	102
951	1994	100
952	1996	98
953	1998	96
954	2000	94
955	2002	92
956	2005	90
957	2007	87
958	2009	85
959	2011	83
960	2012	81
961	2014	79
962	2016	77
963	2018	75
964	2020	73
965	2022	71
966	2024	69
967	2026	66
968	2028	64
969	2030	62
970	2032	60
971	2034	58
972	2036	56
973	2038	54
974	2040	52
975	2042	50
976	2044	48
977	2045	46
978	2047	43
979	2049	41
980	2051	39
981	2054	37
982	2056	35
983	2058	33
984	2060	31
985	2061	29
986	2063	27
987	2065	25
988	2067	22
989	2069	20
990	2072	18
991	2075	16
992	2076	14
993	2078	12
994	2081	10
995	2083	8
996	2086	6
997	2088	4
998	2090	2
999	2091	0
